year,industryLargeClassName,industryMediumClassName,brandCount,quantifiedSalesBrandCount,quantifiedStartupBrandCount,totalFranchiseStoreCount,totalNewFranchiseRegistrationCount,totalContractEndCount,totalContractCancellationCount,totalClosureLikeCount,averageBrandSalesKrw,medianBrandSalesKrw,averageBrandStartupCostKrw,medianBrandStartupCostKrw,averageStoresPerBrand,medianStoresPerBrand,averageNewRegistrationsPerBrand,averageEndCountsPerBrand,averageCancellationCountsPerBrand,newRegistrationRateByStore,closureLikeRateByStore,joinedBrandCoverageRate
2020,서비스,이사,6,6,6,501,55,62,0,62,88618500,42050000,11516667,7235000,84,92,9,10,0,0.1098,0.1238,1
2020,서비스,인력 파견,16,16,16,239,47,7,3,10,73329063,0,30086438,24650000,15,13,3,0,0,0.1967,0.0418,1
2020,서비스,임대,13,13,13,88,48,5,2,7,31819231,0,133627154,135300000,7,0,4,0,0,0.5455,0.0795,1
2020,서비스,자동차 관련,56,56,56,5258,426,292,126,418,59379143,0,91909714,73610000,94,8,8,5,2,0.081,0.0795,1
2020,서비스,PC방,35,35,35,1638,528,171,189,360,188792943,241482000,166271486,155422000,47,22,15,5,5,0.3223,0.2198,1
2020,외식,기타 외국식,94,94,94,1208,237,245,57,302,137066904,0,98913766,82575000,13,3,3,3,1,0.1962,0.25,1
2020,외식,기타 외식,835,835,835,16618,4542,1826,691,2517,173895268,0,96805820,80100000,20,5,5,2,1,0.2733,0.1515,1
2020,외식,분식,388,388,388,9320,2471,754,326,1080,87065430,0,61348335,56065000,24,5,6,2,1,0.2651,0.1159,1
2020,외식,서양식,128,128,128,1121,456,113,48,161,160946781,0,121499875,98500000,9,2,4,1,0,0.4068,0.1436,1
2020,외식,아이스크림/빙수 ,30,30,30,2243,334,90,23,113,70921700,0,111167833,113950000,75,5,11,3,1,0.1489,0.0504,1
2020,외식,음료 (커피 외),64,64,64,1988,765,184,68,252,93913188,0,100046203,81300000,31,2,12,3,1,0.3848,0.1268,1
2020,외식,일식,191,191,191,1798,472,228,113,341,164821084,0,113502277,83500000,9,3,2,1,1,0.2625,0.1897,1
2020,외식,제과제빵,138,138,138,8351,1135,506,276,782,128257935,76220000,122314384,85910000,61,5,8,4,2,0.1359,0.0936,1
2020,외식,주점,273,273,273,7878,1738,1298,227,1525,142296201,0,97894000,84170000,29,6,6,5,1,0.2206,0.1936,1
2020,외식,중식,110,110,110,1341,521,130,34,164,145961082,0,110762245,95735000,12,2,5,1,0,0.3885,0.1223,1
2020,외식,치킨,435,435,435,25216,4275,2170,816,2986,100666933,51029000,55686126,49500000,58,8,10,5,2,0.1695,0.1184,1
2020,외식,커피,355,355,355,15788,3359,946,469,1415,71224183,0,109612149,79470000,44,4,9,3,1,0.2128,0.0896,1
2020,외식,패스트푸드,74,74,74,2418,435,292,64,356,91698770,0,107720419,70850000,33,4,6,4,1,0.1799,0.1472,1
2020,외식,피자,145,145,145,6696,964,384,148,532,114435228,0,71748503,57000000,46,7,7,3,1,0.144,0.0795,1
2020,외식,한식,1581,1581,1581,24261,7265,2464,889,3353,140298259,0,340750173,85740000,15,3,5,2,1,0.2995,0.1382,1
2021,도소매,(건강)식품,31,31,31,2032,70,29,22,51,48168581,0,73642387,71550000,66,0,2,1,1,0.0344,0.0251,1
2021,도소매,기타도소매,316,316,316,6999,1074,340,159,499,127928500,0,115507766,66815000,22,0,3,1,1,0.1535,0.0713,1
2021,도소매,농수산물,32,32,32,826,155,38,19,57,70778719,0,55717719,51675000,26,0,5,1,1,0.1877,0.069,1
2021,도소매,의류 / 패션,39,39,39,179,53,27,10,37,43045795,0,78832821,64050000,5,1,1,1,0,0.2961,0.2067,1
2021,도소매,종합소매점,19,19,19,875,101,38,14,52,447861000,0,177146263,85750000,46,0,5,2,1,0.1154,0.0594,1
2021,도소매,편의점,42,42,42,48701,6352,1719,1180,2899,134819595,0,61809881,54100000,1160,0,151,41,28,0.1304,0.0595,1
2021,도소매,화장품,19,19,19,2018,37,299,351,650,129998316,163889000,111590316,123267000,106,22,2,16,18,0.0183,0.3221,1
2021,서비스,교육 (교과),74,74,74,9129,1486,1171,242,1413,92082865,0,96274324,67650000,123,19,20,16,3,0.1628,0.1548,1
2021,서비스,교육 (외국어),117,117,117,15523,1568,1119,414,1533,135637282,1225000,174825077,87120000,133,15,13,10,4,0.101,0.0988,1
2021,서비스,기타 교육,198,198,198,5759,812,485,283,768,56558641,0,138298586,84927500,29,5,4,2,1,0.141,0.1334,1
2021,서비스,기타 서비스,409,409,409,8665,5081,494,99,593,35902516,0,137690293,82989000,21,0,12,1,0,0.5864,0.0684,1
2021,서비스,반려동물 관련,42,42,42,257,70,9,17,26,31967881,0,91891262,72700000,6,0,2,0,0,0.2724,0.1012,1
2021,서비스,배달,11,11,11,41,30,0,0,0,15527636,0,39820091,42855000,4,0,3,0,0,0.7317,0,1
2021,서비스,부동산 중개 ,8,8,8,26,5,1,0,1,51513625,0,41970750,39400000,3,0,1,0,0,0.1923,0.0385,1
2021,서비스,세탁,24,24,24,4407,440,169,181,350,22562167,0,61829792,37450000,184,10,18,7,8,0.0998,0.0794,1
2021,서비스,숙박,33,33,33,257,31,28,8,36,95706364,0,1825382061,802600000,8,0,1,1,0,0.1206,0.1401,1
2021,서비스,스포츠 관련,90,90,90,2758,506,157,41,198,64460789,0,201062889,145465000,31,3,6,2,0,0.1835,0.0718,1
2021,서비스,안경,65,65,65,2843,405,94,222,316,152598769,127141000,154401600,161060000,44,17,6,1,3,0.1425,0.1112,1
